Table 3.1. Government Current Receipts and Expenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Billions of dollars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual data from 1969 To 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data published February 26, 2016 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File created 2/26/2016 9:31:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,,,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,  Interest and miscellaneous receipts,W059RC1,7.2,8.4,9.1,9.7,11.8,14.7,16.4,16.6,18.7,23.5,31.3,40.5,51.1,60.0,66.0,75.2,85.6,90.9,86.6,91.2,95.2,98.7,96.9,89.2,87.1,86.3,92.0,99.0,102.1,101.1,104.8,118.2,114.2,98.8,95.6,100.1,113.6,133.8,149.0,136.4,115.4,117.8,114.2,103.6,102.5,105.9,108.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,    Interest receipts \2\,Y703RC1,6.1,7.1,7.7,8.2,10.0,12.5,14.1,14.2,16.1,20.7,27.3,34.4,43.3,51.4,57.4,65.4,75.7,81.4,78.2,84.0,88.2,91.0,88.6,81.0,78.8,78.2,84.5,90.2,92.8,92.3,95.7,105.6,99.3,85.7,81.0,83.0,94.2,113.5,126.3,110.5,97.2,98.6,92.5,81.1,80.8,82.2,86.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,    Rents and royalties,Y704RC1,1.1,1.2,1.4,1.5,1.8,2.1,2.3,2.4,2.5,2.8,4.0,6.2,7.7,8.6,8.6,9.9,9.9,9.5,8.4,7.3,7.1,7.6,8.3,8.2,8.3,8.1,7.5,8.7,9.3,8.9,9.2,12.5,14.9,13.1,14.6,17.1,19.4,20.3,22.6,25.9,18.3,19.2,21.7,22.5,21.7,23.8,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,  Dividends,W065RC1,.....,.....,.....,.....,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.6,0.8,1.0,1.4,1.5,1.6,1.5,1.4,1.4,1.6,1.7,2.0,2.2,2.3,2.4,3.2,20.9,19.3,21.4,24.4,135.0,44.6,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Current transfer receipts,W060RC1,2.6,2.7,2.9,3.5,3.6,4.1,4.7,5.5,6.5,7.8,8.9,10.3,11.7,14.0,16.0,18.6,22.2,25.0,26.3,27.0,31.6,35.3,43.8,49.5,54.2,58.8,57.5,65.7,68.0,74.2,80.6,91.4,97.3,103.1,109.5,119.8,125.7,136.0,144.0,156.5,175.2,174.8,176.7,170.1,192.2,207.3,207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,  From business (net),W061RC1,1.5,1.4,1.5,1.7,1.8,2.1,2.2,2.4,3.0,3.9,4.5,5.4,5.7,6.9,7.9,9.4,11.8,13.0,13.1,12.2,15.1,17.0,21.3,23.6,25.6,27.9,24.9,30.7,29.8,34.3,36.5,41.9,43.9,46.2,48.3,52.4,53.4,58.3,62.0,70.6,88.5,87.2,89.2,72.6,91.9,94.8,102.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,  From persons,W062RC1,1.1,1.3,1.5,1.8,1.8,2.1,2.5,3.0,3.5,3.9,4.3,5.0,6.0,7.1,8.1,9.2,10.4,12.0,13.2,14.8,16.5,18.4,22.6,26.0,28.6,30.9,32.6,34.9,38.2,39.9,44.1,48.8,52.9,56.4,60.5,66.9,71.6,76.6,81.0,82.8,83.5,83.9,85.5,91.1,92.6,95.3,97.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,  From the rest of the world \3\,LA0000141,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,0.1,0.7,0.5,0.5,0.7,0.5,0.7,1.1,1.1,3.2,3.2,3.8,2.0,6.5,7.6,17.2,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Current surplus of government enterprises \4\,A108RC1,0.0,-1.2,-1.7,-1.2,-2.2,-2.7,-4.4,-2.7,-3.3,-2.8,-3.2,-5.1,-5.2,-3.8,-2.3,-1.4,1.3,2.0,2.2,5.0,6.7,3.2,7.8,9.9,10.8,11.8,15.6,16.9,17.5,16.3,16.2,10.7,5.2,7.0,3.9,-1.8,-6.4,-9.3,-16.4,-21.2,-20.6,-22.9,-24.5,-19.3,-18.8,-18.3,-16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,    Current expenditures,W022RC1,283.5,317.5,352.4,385.9,416.6,468.3,543.5,582.4,630.5,692.0,765.1,880.2,"1,000.3","1,110.3","1,205.4","1,285.9","1,391.8","1,484.5","1,557.2","1,646.9","1,780.6","1,920.2","2,034.6","2,218.4","2,301.4","2,377.2","2,495.1","2,578.3","2,654.5","2,719.6","2,832.2","2,971.8","3,174.0","3,363.3","3,572.2","3,777.9","4,040.3","4,274.3","4,547.2","4,916.6","5,220.3","5,502.5","5,592.2","5,623.1","5,655.7","5,794.6","5,951.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Consumption expenditures,A955RC1,180.9,194.4,210.8,227.6,240.7,267.0,298.5,316.2,342.6,371.8,405.4,454.9,507.4,553.1,594.6,632.0,688.6,736.4,776.1,819.8,881.5,948.0,"1,004.1","1,049.3","1,074.2","1,109.6","1,144.5","1,176.5","1,224.6","1,272.1","1,357.6","1,444.2","1,545.1","1,651.4","1,755.6","1,868.9","1,980.0","2,089.8","2,209.7","2,368.6","2,442.1","2,522.2","2,530.9","2,544.2","2,522.0","2,556.3","2,571.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Current transfer payments,A084RC1,64.1,77.3,92.2,103.0,115.2,135.9,171.3,184.7,196.3,211.2,236.2,282.4,318.8,355.3,383.1,395.8,420.9,447.2,464.9,494.6,539.7,594.4,631.2,758.5,806.8,842.5,886.9,934.3,960.2,984.1,"1,019.5","1,075.9","1,173.5","1,283.5","1,359.8","1,446.0","1,543.1","1,640.5","1,753.1","1,980.5","2,177.5","2,351.8","2,384.9","2,396.9","2,458.2","2,559.0","2,692.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,  Government social benefits,W063RC1,59.6,72.5,86.2,95.8,109.8,129.9,165.1,180.1,192.1,206.2,230.4,275.0,312.1,347.2,374.1,384.6,407.1,433.0,452.2,481.4,526.2,580.8,656.8,738.0,785.1,822.5,871.5,913.9,943.3,966.1,"1,000.7","1,053.5","1,155.3","1,260.1","1,331.2","1,415.2","1,502.3","1,605.5","1,710.8","1,935.4","2,124.9","2,298.3","2,327.3","2,341.5","2,404.3","2,506.6","2,640.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,    To persons,A063RC1,59.0,71.7,85.4,94.8,108.6,128.6,163.1,177.6,189.5,203.4,227.3,271.5,307.8,343.1,370.5,380.9,403.1,428.6,447.9,476.9,521.1,574.7,650.5,731.8,778.9,815.7,864.7,906.3,935.4,957.9,992.2,"1,044.9","1,145.8","1,250.5","1,321.1","1,404.6","1,491.0","1,593.1","1,697.5","1,920.0","2,108.8","2,281.7","2,310.2","2,323.6","2,385.5","2,487.2","2,620.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,    To the rest of the world \5\,W016RC1,0.6,0.7,0.8,1.0,1.2,1.3,2.0,2.5,2.6,2.7,3.0,3.5,4.3,4.1,3.6,3.7,4.0,4.4,4.3,4.6,5.1,6.2,6.3,6.2,6.2,6.8,6.8,7.6,7.9,8.2,8.5,8.7,9.4,9.7,10.1,10.7,11.2,12.4,13.3,15.5,16.0,16.5,17.1,18.0,18.8,19.5,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"  Other current transfer payments to the rest of the world \3,5\",W017RC1,4.5,4.8,6.0,7.2,5.4,6.0,6.1,4.5,4.2,5.0,5.8,7.3,6.7,8.1,8.9,11.2,13.8,14.2,12.7,13.2,13.5,13.5,-25.6,20.6,21.7,19.9,15.4,20.4,17.0,18.0,18.7,22.4,18.3,23.3,28.6,30.8,40.9,35.0,42.3,45.0,52.7,53.5,57.6,55.3,53.9,52.3,52.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Interest payments \2\,A180RC1,34.0,41.0,44.6,48.7,55.5,62.2,69.2,76.4,84.5,100.1,114.9,133.1,162.7,186.9,206.5,237.0,261.0,276.0,285.8,303.0,332.0,350.9,371.9,380.5,383.7,392.6,428.9,432.3,435.8,427.0,410.0,405.8,396.7,387.0,407.8,416.6,456.2,492.4,529.8,515.0,542.4,572.7,616.4,624.0,616.2,621.4,628.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,  To persons and business \2\,A204RC1,33.2,40.1,42.9,46.2,51.8,58.1,64.9,72.2,79.2,91.9,104.4,121.3,146.4,168.9,188.4,216.8,238.8,252.7,261.7,274.2,297.4,314.8,335.8,346.3,349.5,356.2,381.9,375.6,366.1,354.9,343.2,341.4,339.6,337.7,360.4,361.7,388.2,406.6,430.7,415.0,451.0,477.8,516.3,525.3,517.0,524.9,.....,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,  To the rest of the world,Y712RC1,0.8,0.9,1.8,2.6,3.7,4.0,4.3,4.3,5.2,8.2,10.6,11.9,16.3,18.0,18.1,20.2,22.2,23.3,24.1,28.8,34.5,36.1,36.1,34.3,34.2,36.4,47.1,56.8,69.7,72.1,66.7,64.4,57.1,49.3,47.4,54.8,68.0,85.9,99.0,100.0,91.4,94.9,100.0,98.7,99.2,96.6,.....,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
